iter	Passed	Remaining
549	5203	4257
550	5213	4248
551	5222	4238
552	5232	4229
553	5240	4219
554	5249	4209
555	5259	4200
556	5267	4189
557	5277	4180
558	5285	4170
559	5296	4161
560	5308	4153
561	5317	4144
562	5327	4135
563	5335	4124
564	5345	4115
565	5353	4105
566	5363	4095
567	5372	4086
568	5380	4075
569	5389	4065
570	5398	4055
571	5407	4046
572	5416	4036
573	5427	4027
574	5435	4017
575	5445	4008
576	5455	3999
577	5463	3988
578	5472	3978
579	5480	3968
580	5490	3959
581	5498	3949
582	5508	3939
583	5516	3929
584	5527	3920
585	5540	3914
586	5548	3903
587	5558	3894
588	5566	3884
589	5575	3874
590	5583	3864
591	5592	3854
592	5602	3844
593	5610	3834
594	5619	3825
595	5627	3814
596	5637	3805
597	5647	3796
598	5661	3789
599	5673	3782
600	5683	3773
601	5691	3762
602	5701	3753
603	5709	3743
604	5718	3733
605	5726	3723
606	5737	3714
607	5745	3704
608	5755	3695
609	5764	3685
610	5772	3675
611	5782	3665
612	5790	3655
613	5799	3645
614	5807	3635
615	5816	3626
616	5824	3615
617	5834	3606
618	5842	3596
619	5853	3587
620	5863	3578
621	5871	3568
622	5881	3558
623	5888	3548
624	5898	3538
625	5906	3528
626	5915	3519
627	5924	3509
628	5934	3500
629	5945	3491
630	5954	3481
631	5963	3472
632	5972	3462
633	5981	3453
634	5989	3442
635	5999	3433
636	6008	3423
637	6016	3413
638	6026	3404
639	6034	3394
640	6045	3385
641	6054	3376
642	6064	3367
643	6073	3357
644	6081	3347
645	6090	3337
646	6098	3327
647	6107	3317
648	6115	3307
649	6124	3298
650	6133	3287
651	6143	3279
652	6152	3269
653	6162	3260
654	6170	3250
655	6179	3240
656	6188	3230
657	6197	3220
658	6206	3211
659	6215	3201
660	6224	3192
661	6232	3182
662	6242	3173
663	6250	3162
664	6261	3154
665	6271	3145
666	6280	3135
667	6289	3126
668	6297	3115
669	6307	3106
670	6315	3096
671	6326	3087
672	6336	3078
673	6345	3069
674	6355	3059
675	6364	3050
676	6374	3041
677	6383	3031
678	6391	3021
679	6401	3012
680	6409	3002
681	6419	2993
682	6428	2983
683	6437	2974
684	6445	2964
685	6456	2955
686	6466	2946
687	6476	2936
688	6486	2927
689	6496	2918
690	6505	2909
691	6515	2900
692	6524	2890
693	6534	2881
694	6542	2870
695	6551	2861
696	6559	2851
697	6570	2843
698	6581	2833
699	6589	2824
700	6598	2814
701	6606	2804
702	6617	2795
703	6625	2785
704	6634	2776
705	6642	2766
706	6651	2756
707	6664	2748
708	6673	2739
709	6685	2730
710	6695	2721
711	6704	2712
712	6716	2703
713	6724	2693
714	6733	2684
715	6743	2674
716	6751	2664
717	6761	2655
718	6769	2645
719	6781	2637
720	6792	2628
721	6800	2618
722	6810	2609
723	6819	2599
724	6828	2590
725	6837	2580
726	6845	2570
727	6856	2561
728	6865	2552
729	6875	2543
730	6884	2533
731	6895	2524
732	6903	2514
733	6913	2505
734	6923	2496
735	6931	2486
736	6941	2477
737	6949	2467
738	6960	2458
739	6971	2449
740	6979	2439
741	6989	2430
742	6998	2420
743	7008	2411
744	7016	2401
745	7026	2392
746	7035	2382
747	7044	2373
748	7054	2364
749	7062	2354
750	7072	2344
751	7080	2335
752	7090	2325
753	7098	2315
754	7110	2307
755	7121	2298
756	7129	2288
757	7139	2279
758	7148	2269
759	7157	2260
760	7167	2251
761	7175	2241
762	7185	2231
763	7194	2222
764	7205	2213
765	7216	2204
766	7224	2194
767	7234	2185
768	7243	2175
769	7254	2166
770	7264	2157
771	7272	2147
772	7282	2138
